         i         lr    lrdecay          p         wd   accuracy
       133       -4.0        0.0        0.3        0.2       0.10
       134        0.0        0.4        1.0        0.1       0.17
       135       -2.0        0.2        0.5        0.2       0.40
       136       -2.0        0.3        1.0        0.9       0.09
       137       -2.0        0.6        0.2        0.0       0.03
       138       -5.0        0.9        0.3        0.9       0.07
       139        0.0        0.8        0.0        0.3       0.48
       140       -2.0        0.7        0.6        0.4       0.06
       141       -4.0        0.6        0.9        1.0       0.05
       142        0.0        0.0        0.5        0.8       0.39
       143       -2.0        0.4        0.3        0.8       0.03
       144       -2.0        0.9        0.1        0.5       0.14
       145       -5.0        0.5        0.7        0.4       0.07
       146        0.0        0.4        0.3        0.7       0.29
       147        0.0        0.2        0.7        1.0       0.36
       148       -3.0        0.4        0.9        0.9       0.01
       149       -3.0        0.1        0.8        1.0       0.11
       150       -3.0        0.3        0.8        0.4       0.11
       151       -1.0        0.9        0.4        0.2       0.41
       152       -2.0        0.6        0.4        0.7       0.39
       153       -5.0        0.5        0.4        0.0       0.37
       154       -3.0        0.2        0.8        0.4       0.00
       155       -1.0        0.1        0.3        0.2       0.25
       156        0.0        0.6        0.8        0.9       0.40
       157       -3.0        0.6        0.0        0.4       0.02
       158       -2.0        0.1        0.8        0.7       0.20
       159       -2.0        0.8        0.5        0.1       0.15
       160       -1.0        0.7        0.2        0.3       0.08
       161       -1.0        0.9        0.9        0.7       0.43
       162        0.0        0.1        0.8        0.2       0.43
       163       -2.0        0.0        0.4        0.2       0.03
       164       -3.0        0.7        0.7        0.1       0.00
       165       -1.0        0.8        0.8        0.6       0.43
       166       -5.0        0.8        0.2        0.1       0.00
       167       -4.0        0.8        0.2        0.9       0.13
       168       -2.0        0.0        0.4        0.8       0.40
       169       -5.0        0.8        0.7        0.2       0.01
       170       -3.0        0.2        0.0        0.8       0.07
       171       -5.0        0.2        1.0        0.9       0.41
       172       -5.0        0.1        0.8        0.7       0.00
       173       -4.0        0.1        0.0        0.2       0.01
       174       -3.0        0.8        0.4        0.6       0.02
       175       -4.0        1.0        1.0        0.4       0.40
       176        0.0        0.5        0.3        0.1       0.30
       177       -3.0        0.7        1.0        0.5       0.42
       178       -2.0        0.2        0.9        1.0       0.13
       179        0.0        0.4        0.8        0.8       0.37
       180       -2.0        0.6        0.0        0.9       0.39
       181       -4.0        0.2        0.2        0.6       0.16
       182        0.0        0.0        0.5        0.6       0.40
       183       -5.0        0.7        0.7        0.0       0.12
       184       -5.0        1.0        0.0        0.9       0.53
       185       -5.0        0.8        0.6        0.9       0.02
       186       -2.0        0.3        0.6        0.0       0.26
       187        0.0        0.6        0.0        0.2       0.42
       188       -5.0        0.4        0.9        0.8       0.10
       189        0.0        0.8        0.4        0.9       0.43
       190       -2.0        0.2        0.0        0.4       0.07
       191       -5.0        0.6        0.7        0.7       0.05
       192       -5.0        1.0        0.9        0.6       0.43
       193       -4.0        0.0        0.3        0.7       0.00
       194       -1.0        0.8        0.5        0.8       0.38
       195       -5.0        0.7        0.1        0.3       0.20
       196       -5.0        0.3        0.8        0.2       0.13
       197       -1.0        0.0        0.1        1.0       0.07
       198        0.0        0.2        0.5        1.0       0.37
       199       -3.0        1.0        0.5        1.0       0.43
       200        0.0        0.7        0.9        0.9       0.28
       201       -3.0        0.8        0.9        0.7       0.05
       202       -4.0        0.7        0.5        0.0       0.02
       203       -1.0        0.6        0.6        0.9       0.36
       204       -3.0        0.8        0.0        0.2       0.07
       205       -5.0        0.3        0.0        0.4       0.07
       206       -4.0        0.9        0.9        1.0       0.00
       207        0.0        0.7        0.5        0.4       0.50
       208       -3.0        0.7        0.3        0.3       0.18
       209       -1.0        0.7        0.7        0.4       0.42
       210       -3.0        0.1        0.5        0.6       0.33
       211       -5.0        0.6        0.9        0.4       0.14
       212       -5.0        0.8        0.1        1.0       0.02
       213        0.0        0.4        0.3        0.7       0.43
       214       -1.0        1.0        0.8        0.7       0.43
       215        0.0        1.0        0.2        0.5       0.40
       216       -3.0        0.9        0.6        0.0       0.07
       217       -5.0        0.3        0.1        0.5       0.02
       218       -2.0        0.7        0.5        0.9       0.14
       219       -1.0        0.4        0.6        0.5       0.40
       220       -2.0        0.4        1.0        0.5       0.05
       221       -3.0        0.7        0.3        0.9       0.00
       222        0.0        1.0        0.7        0.7       0.39
       223       -3.0        0.0        0.8        1.0       0.04
       224       -1.0        0.2        0.0        0.7       0.03
       225       -5.0        0.7        0.1        0.0       0.01
       226        0.0        0.4        0.8        0.1       0.40
       227        0.0        0.6        0.3        0.0       0.44
       228       -5.0        0.6        0.0        0.5       0.46
       229       -2.0        0.5        1.0        0.3       0.01
       230       -3.0        0.6        0.3        0.5       0.18
       231       -4.0        0.2        0.5        0.2       0.30
       232       -5.0        0.9        0.3        0.6       0.05
       233       -1.0        1.0        0.7        0.4       0.43
       234       -1.0        0.1        0.4        0.1       0.07
       235       -3.0        0.9        0.1        0.7       0.10
       236       -1.0        0.5        0.1        0.0       0.35
       237       -2.0        0.9        0.6        1.0       0.19
       238       -1.0        0.6        0.0        0.0       0.35
       239       -2.0        0.6        1.0        0.0       0.43
       240       -1.0        0.5        0.8        0.3       0.30
       241       -4.0        1.0        0.8        0.4       0.45
       242       -3.0        0.2        0.5        0.4       0.03
       243       -4.0        0.8        0.6        1.0       0.00
       244       -5.0        0.9        0.0        0.8       0.10
       245       -5.0        1.0        0.5        0.4       0.48
       246       -5.0        0.2        1.0        0.0       0.45
       247       -5.0        0.9        0.5        0.0       0.12
       248       -3.0        0.0        0.5        0.6       0.12
       249       -1.0        0.0        0.2        0.2       0.35
       250       -1.0        0.4        0.8        0.8       0.19
       251       -3.0        0.8        0.3        0.4       0.12
       252       -4.0        0.6        0.4        0.9       0.01
       253       -5.0        0.1        0.7        0.7       0.05
       254       -3.0        0.9        0.2        0.6       0.25
       255       -5.0        0.8        0.6        0.2       0.10
       256       -1.0        0.3        0.7        0.2       0.23
       257       -1.0        0.4        1.0        0.8       0.01
       258       -1.0        0.9        0.0        1.0       0.42
       259       -4.0        0.5        1.0        0.3       0.42
       260       -5.0        0.7        0.8        0.1       0.37
       261       -2.0        0.9        1.0        0.6       0.08
       262       -2.0        0.9        1.0        0.2       0.00
       263        0.0        0.5        0.5        0.2       0.44
       264       -1.0        0.4        0.3        0.5       0.02
       265        0.0        0.6        0.8        0.1       0.43
       266       -5.0        0.4        0.7        1.0       0.03
       267       -5.0        0.6        0.5        0.4       0.01
       268       -2.0        0.0        0.7        0.2       0.02
       269       -5.0        0.4        0.1        0.7       0.15
       270       -3.0        0.5        0.8        0.9       0.10
       271       -3.0        1.0        0.3        0.7       0.43
       272       -3.0        0.1        0.3        0.9       0.10
       273       -3.0        0.3        0.7        0.0       0.08
       274       -5.0        0.4        0.0        0.1       0.17
       275       -1.0        0.3        0.6        0.7       0.20
       276       -4.0        0.2        0.2        0.8       0.04
       277       -3.0        0.2        0.3        0.2       0.01
       278        0.0        0.3        0.1        0.1       0.47
       279       -3.0        0.2        0.8        0.0       0.20
       280        0.0        0.2        0.4        0.6       0.12
       281       -3.0        0.1        0.5        0.7       0.11
       282        0.0        0.8        0.5        0.5       0.40
       283       -4.0        0.1        0.8        0.1       0.20
       284       -2.0        0.9        0.4        0.9       0.16
       285        0.0        0.3        0.0        0.8       0.12
       286       -4.0        0.2        0.0        0.7       0.11
       287       -1.0        0.1        0.8        0.5       0.41
       288       -3.0        0.8        1.0        0.5       0.08
       289       -5.0        0.3        0.6        0.9       0.04
       290       -1.0        0.3        0.1        0.1       0.11
       291       -1.0        0.5        0.4        1.0       0.37
       292       -3.0        0.2        0.0        1.0       0.11
       293       -4.0        0.5        0.5        0.4       0.13
       294       -3.0        0.6        0.1        0.1       0.04
       295       -2.0        0.0        0.7        1.0       0.22
       296       -5.0        0.1        0.4        0.6       0.00
       297        0.0        0.1        0.1        0.0       0.40
       298       -2.0        0.6        0.5        0.3       0.20
       299       -1.0        1.0        0.5        0.6       0.43
       300       -1.0        0.7        0.4        0.5       0.21
       301       -3.0        0.8        0.5        0.8       0.11
       302       -2.0        0.1        0.2        0.6       0.00
       303       -1.0        0.8        0.5        0.6       0.33
