         i         lr    lrdecay          p         wd   accuracy
       582       -2.0        0.2        0.6        0.9       0.15
       583        0.0        0.6        0.2        0.6       0.40
       584       -3.0        0.2        0.9        0.5       0.01
       585       -4.0        0.6        0.7        0.4       0.01
       586        0.0        0.0        1.0        0.7       0.00
       587       -5.0        0.2        0.4        0.3       0.13
       588       -5.0        0.5        0.9        0.0       0.39
       589       -5.0        0.8        0.8        0.9       0.01
       590       -5.0        0.5        0.8        0.6       0.09
       591       -4.0        0.7        0.8        0.2       0.12
       592       -4.0        0.6        0.4        0.7       0.02
       593       -3.0        0.5        0.8        0.8       0.20
       594       -2.0        0.3        0.3        0.5       0.00
       595       -4.0        0.4        0.4        0.2       0.14
       596       -2.0        0.6        0.7        0.5       0.12
       597       -4.0        1.0        0.0        0.2       0.51
       598       -1.0        0.9        0.4        0.4       0.41
       599       -4.0        0.5        0.4        0.2       0.30
       600       -3.0        0.6        0.0        0.6       0.26
       601        0.0        0.0        0.7        0.9       0.11
       602       -4.0        0.9        0.6        0.1       0.00
       603        0.0        0.1        0.2        1.0       0.40
       604       -3.0        0.2        0.2        0.8       0.03
       605        0.0        1.0        1.0        1.0       0.43
       606       -1.0        0.6        0.8        0.4       0.42
       607       -4.0        0.5        0.9        1.0       0.14
       608       -2.0        0.8        0.1        0.6       0.08
       609       -2.0        0.1        0.8        0.0       0.37
       610        0.0        0.7        0.5        0.2       0.43
       611       -1.0        0.9        0.4        0.7       0.44
       612       -1.0        0.5        0.0        0.2       0.17
       613       -4.0        0.5        0.2        0.7       0.11
       614       -3.0        0.3        0.4        0.1       0.12
       615       -1.0        0.7        0.8        0.6       0.43
       616        0.0        0.1        0.1        1.0       0.40
       617        0.0        0.6        0.0        0.3       0.35
       618       -2.0        0.8        0.8        0.9       0.26
       619       -5.0        0.6        0.0        0.7       0.16
       620       -5.0        0.7        0.1        0.3       0.01
       621       -4.0        1.0        0.7        0.5       0.45
       622       -3.0        0.1        0.3        0.1       0.13
       623        0.0        0.4        0.7        0.3       0.42
       624       -2.0        0.5        0.5        0.0       0.09
       625       -2.0        0.6        0.0        1.0       0.08
       626       -2.0        0.2        0.0        0.8       0.14
       627        0.0        0.4        0.1        0.0       0.37
       628       -2.0        0.9        0.4        1.0       0.01
       629       -5.0        0.7        0.6        0.9       0.07
       630       -2.0        0.4        0.4        0.2       0.01
       631       -2.0        0.6        0.0        0.6       0.10
       632        0.0        0.3        0.8        1.0       0.04
       633       -3.0        0.2        0.4        0.8       0.09
       634       -5.0        0.0        0.1        0.3       0.08
       635       -5.0        0.4        0.7        0.1       0.14
       636       -3.0        0.9        0.5        0.3       0.08
       637       -1.0        0.5        1.0        0.8       0.32
       638       -4.0        0.6        0.8        0.8       0.02
       639       -3.0        0.5        0.7        0.4       0.10
       640       -3.0        0.6        0.3        1.0       0.01
       641       -3.0        0.7        0.7        0.9       0.00
       642       -3.0        1.0        0.5        0.5       0.43
       643       -1.0        1.0        0.5        0.2       0.43
       644       -4.0        0.4        0.0        0.1       0.08
       645       -2.0        0.6        1.0        0.0       0.29
       646       -2.0        0.7        0.0        0.1       0.12
       647        0.0        0.9        0.3        0.8       0.40
       648       -1.0        0.0        0.3        1.0       0.10
       649       -1.0        0.6        0.7        0.4       0.06
       650        0.0        0.8        0.9        0.8       0.41
       651       -3.0        0.0        0.0        0.9       0.10
       652       -5.0        0.9        0.1        0.7       0.00
       653       -4.0        0.5        0.4        0.6       0.08
       654       -4.0        0.7        0.4        0.9       0.03
       655       -1.0        0.6        0.7        0.3       0.22
       656       -3.0        0.9        0.3        0.7       0.12
       657        0.0        0.1        0.0        0.0       0.43
       658        0.0        0.7        1.0        0.5       0.00
       659        0.0        0.7        0.4        0.8       0.43
       660       -2.0        0.2        0.9        0.8       0.02
       661       -4.0        1.0        0.7        0.1       0.54
       662       -3.0        0.0        0.8        0.1       0.04
       663       -3.0        0.9        0.4        0.9       0.30
       664       -3.0        0.3        0.6        0.3       0.13
       665       -5.0        0.6        1.0        0.8       0.40
       666       -2.0        1.0        0.6        0.1       0.43
       667       -4.0        0.8        0.9        0.7       0.07
       668        0.0        0.0        0.4        0.4       0.43
       669       -2.0        1.0        1.0        0.8       0.42
       670       -2.0        1.0        0.2        0.8       0.43
       671       -5.0        0.0        0.3        0.5       0.02
       672       -4.0        0.1        1.0        0.8       0.30
       673        0.0        0.4        1.0        0.7       0.12
       674       -1.0        0.5        0.0        0.4       0.28
       675       -2.0        0.4        0.9        0.1       0.11
       676       -2.0        0.1        0.5        0.0       0.19
       677       -4.0        0.3        0.7        0.4       0.09
       678       -2.0        0.2        0.3        0.7       0.03
       679       -3.0        0.7        0.7        0.9       0.02
       680       -4.0        0.4        0.1        0.9       0.01
       681       -5.0        0.8        0.4        0.6       0.01
       682       -4.0        0.6        0.8        0.6       0.01
       683       -1.0        0.3        0.5        0.8       0.04
       684       -5.0        0.3        1.0        0.9       0.43
       685        0.0        0.9        0.0        0.1       0.46
       686       -1.0        0.4        0.7        0.4       0.11
       687       -5.0        0.3        0.3        0.6       0.03
       688       -4.0        0.1        0.9        0.5       0.00
       689       -5.0        0.7        0.7        0.4       0.42
       690       -1.0        0.4        1.0        0.9       0.00
       691       -2.0        0.2        0.1        0.2       0.02
       692       -5.0        0.5        0.4        0.7       0.00
       693       -5.0        0.2        0.5        0.9       0.05
       694       -2.0        0.4        0.6        0.0       0.01
       695       -5.0        0.7        0.9        0.8       0.20
       696       -3.0        0.0        0.4        1.0       0.02
       697       -5.0        0.5        0.9        0.0       0.01
       698       -5.0        0.2        0.8        0.3       0.10
       699       -4.0        0.0        0.4        0.9       0.05
       700       -1.0        0.3        0.6        0.2       0.06
       701        0.0        0.6        1.0        0.2       0.00
       702       -2.0        0.9        0.6        0.4       0.46
       703        0.0        0.7        0.8        0.6       0.00
       704       -4.0        0.0        0.4        0.4       0.16
       705       -3.0        0.4        0.5        0.8       0.33
       706       -5.0        0.4        0.7        0.4       0.28
       707       -1.0        0.4        0.9        0.8       0.43
       708       -3.0        0.1        0.6        1.0       0.00
       709        0.0        1.0        0.0        1.0       0.43
       710       -5.0        0.6        1.0        0.7       0.43
       711        0.0        0.9        0.8        1.0       0.43
       712       -1.0        1.0        0.1        0.6       0.43
       713       -3.0        0.6        0.4        0.1       0.25
       714        0.0        0.8        0.6        0.6       0.40
       715       -4.0        0.5        0.8        0.3       0.02
       716       -4.0        0.0        0.7        0.0       0.26
       717       -2.0        0.8        0.5        0.3       0.10
       718       -3.0        0.0        0.8        0.9       0.01
       719       -4.0        0.8        0.1        0.6       0.00
       720       -1.0        0.2        0.3        1.0       0.13
       721       -4.0        0.5        0.9        0.7       0.04
       722       -1.0        1.0        0.5        0.6       0.43
       723        0.0        0.0        0.5        0.8       0.35
       724       -4.0        0.9        1.0        0.3       0.34
       725       -4.0        0.5        0.5        0.4       0.14
       726       -2.0        0.7        0.6        0.3       0.04
       727       -4.0        0.8        0.9        0.8       0.02
       728       -4.0        0.1        0.1        0.4       0.01
       729       -3.0        0.4        0.3        0.4       0.01
       730       -3.0        1.0        0.0        0.5       0.44
       731       -2.0        0.4        0.3        0.6       0.12
       732       -3.0        0.0        0.0        0.3       0.30
       733       -1.0        0.3        0.2        0.5       0.38
       734       -2.0        0.3        0.1        0.4       0.02
       735       -5.0        0.3        0.0        0.1       0.03
       736       -4.0        1.0        0.0        0.4       0.55
       737       -5.0        0.7        0.5        0.0       0.00
       738       -1.0        0.7        0.9        0.8       0.40
       739       -1.0        0.1        0.1        0.4       0.31
       740       -3.0        0.9        0.7        0.8       0.01
       741       -5.0        0.0        0.6        0.5       0.12
       742       -3.0        0.1        0.8        0.3       0.00
       743       -5.0        0.0        1.0        0.7       0.32
       744       -2.0        0.8        0.7        0.6       0.01
       745        0.0        0.1        0.9        1.0       0.40
       746       -3.0        0.7        0.4        0.1       0.02
       747        0.0        0.1        0.5        0.0       0.40
       748       -4.0        0.0        0.9        0.8       0.00
       749       -3.0        0.3        0.7        0.0       0.05
       750       -4.0        0.1        0.5        0.5       0.02
       751       -5.0        0.2        0.3        0.5       0.08
       752        0.0        0.2        0.2        0.3       0.40
       753        0.0        1.0        0.3        0.0       0.54
       754       -2.0        0.0        0.7        1.0       0.06
       755       -2.0        0.8        0.6        0.4       0.08
       756        0.0        0.4        0.1        0.9       0.40
       757        0.0        0.6        0.6        0.3       0.43
       758       -2.0        0.6        1.0        0.9       0.02
       759       -1.0        1.0        0.9        1.0       0.43
       760       -4.0        0.3        0.3        0.0       0.20
       761       -2.0        0.1        0.3        0.1       0.02
       762       -3.0        0.4        0.2        0.0       0.06
       763       -1.0        0.6        1.0        0.1       0.17
       764       -3.0        0.0        0.2        0.8       0.03
       765       -1.0        0.8        0.3        0.3       0.41
       766       -1.0        0.3        0.5        0.1       0.00
       767       -4.0        0.1        0.2        0.5       0.01
       768       -3.0        0.7        0.7        0.3       0.04
       769       -3.0        0.6        0.8        0.2       0.15
       770        0.0        0.0        0.6        0.5       0.40
       771       -5.0        0.9        0.6        0.2       0.02
       772       -5.0        0.3        0.5        1.0       0.01
       773       -3.0        0.8        0.0        0.9       0.18
       774       -5.0        1.0        1.0        1.0       0.45
       775       -2.0        0.2        0.2        0.1       0.00
       776       -4.0        0.0        0.4        0.0       0.00
       777       -3.0        0.8        0.0        0.4       0.26
       778       -1.0        1.0        0.3        1.0       0.43
       779       -1.0        0.3        0.4        0.8       0.02
       780       -2.0        0.8        0.8        1.0       0.24
       781        0.0        0.2        0.7        0.0       0.43
       782       -3.0        0.2        0.4        0.0       0.01
       783       -1.0        0.5        0.7        0.5       0.07
       784        0.0        1.0        1.0        0.4       0.33
       785       -2.0        0.7        0.8        0.7       0.00
       786       -2.0        0.9        0.4        0.1       0.00
       787        0.0        0.7        0.3        0.7       0.43
       788       -1.0        0.0        0.4        0.8       0.28
       789        0.0        0.4        0.4        0.3       0.47
       790       -3.0        0.0        0.7        0.1       0.10
       791       -3.0        0.4        0.0        0.9       0.01
       792        0.0        1.0        1.0        0.3       0.43
       793       -2.0        1.0        0.4        0.6       0.43
       794       -4.0        0.3        0.4        0.2       0.06
       795       -2.0        0.2        0.1        0.8       0.01
       796       -4.0        0.9        0.7        0.1       0.01
       797       -3.0        0.2        0.9        0.6       0.38
       798       -4.0        0.5        1.0        0.0       0.43
       799       -5.0        0.3        0.2        0.3       0.18
       800       -1.0        0.4        0.0        1.0       0.14
       801       -3.0        0.6        0.1        0.9       0.01
       802        0.0        0.2        0.5        0.0       0.43
       803       -3.0        0.6        0.6        0.3       0.28
       804       -1.0        0.7        0.4        0.9       0.12
       805       -5.0        0.7        1.0        0.5       0.39
       806       -4.0        0.3        0.9        0.2       0.09
       807       -5.0        0.0        1.0        0.1       0.38
       808       -4.0        0.8        1.0        0.6       0.35
       809        0.0        0.1        0.5        0.3       0.43
       810       -5.0        1.0        0.5        0.4       0.53
       811        0.0        0.9        0.8        0.4       0.40
       812       -5.0        0.1        0.0        0.9       0.22
       813       -2.0        0.8        0.3        0.5       0.42
       814       -1.0        1.0        0.6        0.4       0.43
       815       -1.0        0.4        0.6        0.2       0.32
       816       -4.0        0.8        0.8        0.2       0.05
       817       -2.0        0.0        1.0        0.0       0.12
       818       -3.0        1.0        0.9        0.3       0.43
       819       -3.0        0.3        0.3        0.1       0.11
       820       -2.0        0.3        0.9        0.5       0.43
       821       -1.0        0.7        0.8        0.5       0.43
       822       -2.0        0.8        0.3        0.7       0.04
       823       -5.0        0.4        0.6        0.2       0.39
       824        0.0        0.8        0.0        0.8       0.43
       825       -5.0        1.0        0.1        0.2       0.41
       826       -3.0        0.6        0.0        0.0       0.41
       827       -3.0        0.5        0.6        0.1       0.03
       828       -1.0        0.5        0.9        0.0       0.38
       829       -3.0        0.3        0.3        0.7       0.00
       830       -4.0        1.0        0.5        0.2       0.49
       831       -3.0        0.6        0.9        0.2       0.11
       832       -4.0        0.9        0.1        0.3       0.25
       833       -5.0        0.8        0.8        0.7       0.00
       834        0.0        0.1        0.5        0.7       0.40
       835       -3.0        0.4        0.8        0.0       0.04
       836       -4.0        0.5        0.8        0.5       0.20
       837       -5.0        0.7        0.0        0.9       0.34
       838       -1.0        0.0        0.8        0.7       0.40
       839       -2.0        0.6        0.9        0.2       0.05
       840       -3.0        0.3        0.7        0.5       0.01
       841        0.0        0.3        1.0        0.2       0.00
       842        0.0        0.6        0.1        0.6       0.43
       843       -3.0        0.1        0.7        1.0       0.15
       844       -5.0        0.6        1.0        1.0       0.40
       845       -5.0        0.6        1.0        1.0       0.40
       846       -3.0        0.6        0.9        0.5       0.12
       847        0.0        0.2        0.3        0.8       0.43
       848        0.0        0.5        1.0        0.7       0.05
       849       -3.0        0.2        1.0        0.6       0.43
       850       -3.0        0.8        0.4        0.1       0.12
       851       -2.0        0.4        1.0        0.1       0.29
       852       -2.0        0.6        0.2        0.3       0.10
       853       -1.0        0.1        0.6        0.5       0.00
       854       -4.0        0.2        0.3        0.3       0.04
       855       -2.0        0.6        1.0        0.2       0.01
       856       -5.0        0.8        0.0        0.5       0.03
       857       -1.0        0.8        1.0        0.0       0.43
       858       -5.0        0.1        0.2        0.6       0.17
       859        0.0        0.6        0.2        1.0       0.40
       860       -4.0        0.0        0.8        0.2       0.13
       861       -4.0        0.6        0.5        1.0       0.35
       862        0.0        0.6        0.3        0.0       0.45
       863       -2.0        0.5        0.3        0.1       0.02
       864       -5.0        0.0        0.4        1.0       0.03
       865        0.0        0.2        0.4        0.4       0.43
       866       -4.0        0.8        0.2        0.7       0.12
       867       -3.0        0.6        0.6        0.7       0.08
       868        0.0        0.7        0.6        0.1       0.50
       869       -4.0        0.9        0.2        0.8       0.03
       870       -4.0        0.0        0.3        0.6       0.13
       871       -2.0        0.5        0.9        0.5       0.10
       872       -5.0        0.0        0.1        0.4       0.32
       873       -2.0        0.6        0.7        0.2       0.12
       874       -5.0        0.6        1.0        0.8       0.43
       875        0.0        0.8        0.4        1.0       0.43
       876       -3.0        0.7        0.3        0.7       0.31
       877       -5.0        0.8        0.7        0.6       0.02
       878        0.0        0.0        0.8        0.9       0.34
       879       -1.0        0.6        0.7        0.3       0.20
       880       -5.0        0.7        0.5        0.7       0.03
       881       -3.0        0.5        0.7        0.5       0.00
       882       -4.0        1.0        0.1        0.0       0.53
       883       -1.0        0.4        0.4        0.8       0.01
       884       -2.0        0.9        0.1        1.0       0.02
       885        0.0        0.4        0.1        0.0       0.36
       886        0.0        0.5        0.2        0.8       0.43
       887       -3.0        0.6        0.8        0.0       0.01
       888       -4.0        0.9        0.6        0.5       0.12
       889       -1.0        0.8        0.3        1.0       0.26
       890       -1.0        0.9        0.5        0.6       0.43
       891       -5.0        0.4        0.8        0.4       0.30
       892        0.0        0.7        0.6        0.8       0.40
       893       -2.0        0.9        0.6        0.8       0.19
       894       -2.0        0.1        0.1        0.9       0.01
       895       -1.0        0.9        0.4        0.9       0.43
       896        0.0        0.2        0.2        0.1       0.40
       897        0.0        0.2        0.6        0.7       0.42
       898       -5.0        0.7        0.8        0.2       0.01
       899       -4.0        0.1        0.5        0.1       0.42
       900       -2.0        0.2        0.0        0.3       0.06
       901       -3.0        0.5        1.0        0.4       0.43
       902       -5.0        0.9        0.8        0.0       0.17
       903       -2.0        0.2        1.0        0.4       0.13
       904        0.0        0.8        0.5        0.1       0.46
       905       -2.0        0.4        0.8        1.0       0.04
       906       -3.0        0.2        0.0        0.7       0.02
       907       -2.0        0.2        0.2        0.5       0.27
       908       -3.0        0.7        0.6        0.3       0.00
       909        0.0        0.0        0.0        0.0       0.41
       910       -3.0        0.0        0.3        0.4       0.14
       911       -3.0        0.6        0.8        0.0       0.04
       912       -1.0        1.0        0.3        0.8       0.43
       913       -1.0        0.0        0.5        0.1       0.02
       914       -2.0        0.3        0.6        0.7       0.30
       915       -2.0        0.9        0.6        0.8       0.20
       916        0.0        0.7        0.1        0.3       0.46
       917       -2.0        0.7        0.9        0.4       0.19
       918       -4.0        0.0        0.8        0.9       0.31
       919       -2.0        0.0        0.4        0.7       0.00
       920       -2.0        0.7        0.5        0.0       0.10
       921       -3.0        0.5        0.9        0.5       0.06
       922       -1.0        0.3        0.3        0.5       0.05
       923        0.0        0.9        0.9        0.1       0.38
       924       -3.0        0.1        0.7        0.0       0.11
       925        0.0        0.6        0.3        0.2       0.34
       926       -3.0        0.7        0.6        0.1       0.24
       927       -4.0        0.6        0.7        0.8       0.07
       928       -5.0        0.3        0.7        0.9       0.13
       929        0.0        0.6        1.0        0.6       0.05
       930       -4.0        0.6        0.4        0.3       0.04
       931        0.0        0.5        0.0        0.7       0.40
       932       -2.0        0.1        0.8        0.7       0.01
       933       -3.0        0.0        0.3        0.0       0.05
       934       -5.0        0.7        0.3        0.2       0.14
       935       -5.0        0.3        0.5        0.7       0.03
       936       -2.0        0.8        0.1        0.2       0.31
       937       -2.0        0.2        0.1        0.8       0.27
       938       -5.0        1.0        0.4        0.5       0.50
       939        0.0        0.0        0.2        0.5       0.43
       940       -2.0        0.1        0.0        0.0       0.00
       941        0.0        0.3        0.6        1.0       0.07
       942       -4.0        0.1        0.1        1.0       0.09
       943       -5.0        0.6        0.3        0.3       0.01
       944        0.0        0.7        1.0        1.0       0.02
       945       -3.0        0.6        0.9        0.7       0.19
       946       -4.0        0.5        0.8        0.8       0.08
       947        0.0        0.8        1.0        0.8       0.05
       948       -2.0        0.6        0.8        0.1       0.03
       949        0.0        0.6        0.0        0.4       0.40
       950       -2.0        0.6        0.6        0.9       0.23
       951       -2.0        0.7        0.9        0.7       0.14
       952       -4.0        0.2        0.5        0.6       0.34
       953       -5.0        0.0        0.4        0.1       0.12
       954       -5.0        1.0        0.8        0.7       0.43
       955        0.0        1.0        0.5        1.0       0.40
       956       -2.0        0.3        0.0        0.1       0.30
       957       -5.0        0.4        0.0        0.3       0.09
       958        0.0        0.7        0.0        0.4       0.41
       959       -3.0        0.8        0.3        0.5       0.17
       960       -1.0        0.8        0.0        0.6       0.31
       961       -2.0        0.7        0.5        0.8       0.05
       962       -5.0        0.8        0.3        0.8       0.26
       963       -1.0        0.4        0.6        0.2       0.05
       964       -3.0        0.1        0.0        0.6       0.31
       965       -3.0        0.6        0.3        0.6       0.19
       966       -5.0        0.7        0.5        1.0       0.27
       967       -3.0        0.0        0.0        1.0       0.34
       968        0.0        0.7        0.0        0.9       0.43
       969       -2.0        0.1        0.9        0.7       0.10
       970       -2.0        0.6        0.7        1.0       0.01
       971        0.0        0.0        0.2        0.5       0.40
       972       -4.0        0.3        0.2        0.6       0.00
       973       -4.0        0.9        0.2        0.3       0.13
       974       -3.0        0.5        0.8        0.8       0.04
       975       -2.0        0.5        0.1        0.4       0.02
       976       -4.0        0.5        0.5        1.0       0.04
       977       -1.0        0.9        1.0        1.0       0.02
       978       -4.0        0.7        0.5        0.0       0.05
       979       -3.0        0.1        0.0        0.4       0.07
       980       -4.0        0.0        0.9        0.2       0.34
       981       -3.0        0.1        0.7        0.1       0.28
       982       -5.0        0.1        0.4        0.3       0.01
       983       -1.0        0.5        0.5        0.0       0.06
       984       -1.0        0.5        0.5        0.3       0.07
       985        0.0        0.8        0.8        0.8       0.40
       986       -2.0        0.7        0.2        0.9       0.33
       987       -5.0        0.5        0.7        0.6       0.06
       988        0.0        0.6        0.0        1.0       0.43
       989       -1.0        1.0        0.5        0.9       0.43
       990        0.0        0.8        0.9        0.8       0.19
       991        0.0        0.4        0.0        0.2       0.42
       992        0.0        0.5        0.1        0.0       0.44
       993       -3.0        0.0        0.3        0.7       0.01
       994       -2.0        1.0        0.5        0.6       0.43
       995       -1.0        1.0        0.8        0.0       0.63
       996       -4.0        1.0        0.2        0.3       0.55
       997       -2.0        0.4        0.2        0.4       0.11
       998       -5.0        0.7        0.9        0.2       0.18
       999       -1.0        0.5        0.7        0.2       0.36
      1000       -3.0        1.0        0.1        0.9       0.43
      1001        0.0        0.8        0.8        0.3       0.37
      1002        0.0        0.7        0.4        0.9       0.40
      1003       -5.0        0.3        1.0        0.1       0.08
      1004       -2.0        0.5        1.0        0.7       0.07
      1005        0.0        0.8        0.7        0.1       0.43
      1006       -2.0        0.4        1.0        0.7       0.08
      1007        0.0        0.7        0.7        0.9       0.40
      1008       -3.0        1.0        0.3        0.5       0.40
      1009       -4.0        0.2        0.1        0.8       0.11
      1010        0.0        0.4        0.8        0.8       0.17
      1011        0.0        0.5        0.1        0.7       0.40
      1012        0.0        0.4        0.0        0.2       0.39
      1013       -2.0        0.0        0.3        0.8       0.37
      1014       -4.0        0.5        0.3        0.3       0.15
      1015       -3.0        0.2        0.7        0.9       0.15
      1016       -3.0        0.8        0.4        0.0       0.13
      1017       -3.0        0.5        0.6        0.4       0.02
      1018       -5.0        0.6        0.9        0.5       0.15
      1019       -5.0        0.0        0.0        0.4       0.16
      1020       -1.0        0.8        0.4        1.0       0.36
      1021       -5.0        0.4        0.8        0.0       0.01
      1022       -3.0        0.6        0.5        0.0       0.10
      1023       -4.0        0.1        1.0        0.6       0.31
      1024       -2.0        0.0        0.9        0.4       0.02
      1025       -2.0        0.7        0.3        0.1       0.08
      1026       -2.0        0.1        0.4        0.2       0.02
      1027       -5.0        0.6        0.5        0.0       0.02
      1028       -4.0        0.1        0.2        0.6       0.02
      1029       -2.0        1.0        0.6        0.7       0.43
      1030       -3.0        0.6        1.0        0.7       0.43
      1031       -5.0        0.3        1.0        0.7       0.40
      1032       -4.0        1.0        1.0        0.1       0.39
      1033       -1.0        0.0        0.4        0.4       0.00
      1034       -4.0        0.4        0.4        0.1       0.03
      1035       -1.0        0.7        0.8        0.4       0.43
      1036       -3.0        0.8        0.0        0.7       0.03
      1037       -4.0        0.6        1.0        0.3       0.43
      1038       -5.0        0.1        0.5        0.4       0.02
      1039        0.0        0.0        0.3        0.1       0.40
      1040       -4.0        0.3        0.4        1.0       0.03
      1041       -1.0        0.3        0.2        0.8       0.01
      1042       -4.0        0.0        0.6        0.0       0.01
      1043       -2.0        0.8        1.0        0.8       0.00
      1044        0.0        0.3        0.5        0.7       0.42
      1045       -2.0        0.7        0.6        0.8       0.02
      1046       -4.0        0.9        0.1        0.2       0.13
      1047       -4.0        1.0        1.0        0.0       0.49
      1048       -4.0        0.6        1.0        0.4       0.41
      1049        0.0        0.1        0.7        0.6       0.43
      1050       -3.0        0.8        0.9        0.6       0.00
      1051       -2.0        0.6        0.1        0.7       0.12
      1052       -2.0        0.6        0.6        1.0       0.08
      1053       -2.0        1.0        0.8        0.8       0.43
      1054       -2.0        0.8        0.0        0.3       0.00
      1055       -2.0        0.9        0.8        1.0       0.35
      1056       -3.0        0.6        1.0        0.4       0.35
      1057       -5.0        0.5        0.6        0.4       0.00
      1058       -1.0        0.8        0.8        0.9       0.37
      1059       -1.0        0.6        0.2        0.4       0.35
      1060        0.0        0.7        0.8        0.0       0.43
      1061       -5.0        0.4        0.1        0.2       0.09
      1062       -4.0        0.3        0.2        0.6       0.23
      1063       -3.0        0.8        0.9        1.0       0.15
      1064       -3.0        0.1        0.9        0.8       0.13
      1065       -1.0        0.6        0.4        0.7       0.40
      1066       -3.0        0.4        0.8        0.9       0.15
      1067        0.0        1.0        0.0        0.2       0.43
      1068        0.0        0.3        0.6        1.0       0.42
      1069        0.0        1.0        0.1        0.4       0.43
      1070       -3.0        0.8        1.0        0.9       0.01
      1071       -2.0        0.3        0.0        0.2       0.10
      1072       -5.0        0.4        0.6        0.0       0.28
      1073       -1.0        0.9        0.4        0.5       0.46
      1074       -3.0        0.2        0.6        0.5       0.07
      1075       -3.0        0.9        1.0        1.0       0.01
      1076       -3.0        0.2        0.1        0.0       0.03
      1077        0.0        0.0        0.6        0.0       0.40
      1078       -4.0        1.0        0.8        0.8       0.42
      1079       -2.0        0.1        0.8        0.9       0.04
      1080       -5.0        0.3        0.3        0.8       0.08
      1081       -5.0        0.9        0.0        0.0       0.01
      1082       -2.0        0.6        1.0        0.1       0.41
      1083       -3.0        0.8        0.3        0.0       0.11
      1084        0.0        0.5        0.8        0.9       0.23
      1085       -1.0        0.1        0.1        0.2       0.01
      1086        0.0        0.8        0.7        0.4       0.45
      1087       -3.0        0.9        0.8        0.5       0.26
      1088       -4.0        0.4        0.9        0.3       0.02
      1089        0.0        0.0        0.8        0.1       0.03
      1090       -5.0        0.6        0.3        0.7       0.00
      1091        0.0        0.8        0.4        0.6       0.43
      1092       -3.0        1.0        0.0        0.2       0.53
      1093       -3.0        0.5        1.0        0.4       0.03
      1094        0.0        1.0        0.9        1.0       0.53
      1095       -2.0        0.9        0.7        1.0       0.36
      1096       -1.0        0.2        0.6        0.6       0.23
      1097       -3.0        0.6        0.2        0.3       0.04
      1098       -4.0        0.1        1.0        0.8       0.42
      1099       -1.0        1.0        0.6        1.0       0.43
      1100       -2.0        0.5        0.1        0.0       0.00
      1101        0.0        0.8        0.6        0.2       0.38
      1102       -4.0        0.9        0.2        0.8       0.01
      1103       -1.0        0.1        0.0        0.6       0.25
      1104        0.0        0.7        0.8        1.0       0.28
      1105       -4.0        0.6        0.9        0.0       0.17
      1106       -3.0        0.4        0.4        0.1       0.28
      1107       -4.0        0.2        0.9        0.8       0.32
      1108       -1.0        1.0        0.8        0.7       0.40
      1109       -3.0        0.0        0.1        1.0       0.01
      1110        0.0        0.3        0.9        1.0       0.25
      1111       -4.0        0.3        0.3        0.3       0.09
      1112       -3.0        0.7        0.1        0.9       0.13
      1113       -1.0        0.3        0.6        1.0       0.18
      1114       -2.0        0.9        0.4        0.3       0.15
      1115       -4.0        0.6        0.8        1.0       0.29
      1116       -2.0        0.3        0.5        0.8       0.43
      1117       -3.0        0.9        0.0        0.9       0.04
      1118       -5.0        0.0        0.3        0.3       0.04
      1119       -1.0        0.2        0.2        1.0       0.07
      1120       -5.0        0.5        1.0        0.6       0.40
      1121       -2.0        1.0        0.2        0.9       0.40
      1122       -1.0        0.1        1.0        0.2       0.37
      1123       -3.0        0.5        0.4        0.9       0.06
      1124       -5.0        0.3        0.5        0.2       0.19
      1125        0.0        0.2        0.9        0.5       0.09
      1126       -3.0        0.5        1.0        0.6       0.03
      1127       -5.0        0.2        0.6        0.5       0.12
      1128       -3.0        0.7        1.0        0.0       0.45
      1129        0.0        0.5        0.0        0.2       0.43
      1130       -4.0        0.7        0.6        0.4       0.03
      1131       -1.0        0.0        0.5        0.0       0.00
      1132       -3.0        0.0        0.6        0.0       0.12
      1133        0.0        0.3        0.6        0.0       0.40
      1134       -2.0        0.6        0.9        0.5       0.05
      1135       -5.0        0.1        0.5        0.1       0.19
      1136       -5.0        0.2        0.6        0.0       0.07
      1137        0.0        1.0        0.2        0.9       0.43
      1138       -3.0        0.5        0.2        0.7       0.00
      1139       -4.0        0.3        0.6        0.5       0.10
      1140       -3.0        0.6        0.0        0.8       0.21
      1141       -2.0        0.2        0.8        0.5       0.02
      1142       -4.0        0.1        0.6        0.1       0.01
      1143        0.0        0.9        0.7        0.4       0.43
      1144       -1.0        0.0        1.0        0.5       0.05
      1145       -1.0        0.3        0.0        0.7       0.05
      1146       -2.0        0.4        0.3        0.6       0.11
      1147       -2.0        0.8        0.8        0.3       0.01
      1148       -5.0        0.7        0.2        0.5       0.25
      1149        0.0        0.6        0.3        0.0       0.36
      1150       -5.0        0.1        0.8        0.0       0.15
      1151       -4.0        0.6        0.2        1.0       0.30
      1152       -5.0        0.3        0.9        0.9       0.02
      1153       -4.0        0.3        0.5        0.3       0.00
      1154       -5.0        0.9        0.0        0.9       0.12
      1155       -3.0        0.0        0.8        0.2       0.01
      1156       -3.0        0.9        0.8        0.9       0.14
      1157        0.0        0.3        0.3        0.5       0.39
      1158       -3.0        0.7        0.1        0.5       0.02
      1159        0.0        0.1        1.0        0.1       0.00
      1160       -4.0        1.0        0.2        0.3       0.51
      1161       -4.0        0.3        0.7        0.5       0.01
